"ACP 30-2K",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20ACP-30-5K%20Rev.%20D.xls",,,,,,,
"MEAP",7880,17400,53100,130000,208000,,
,,,,,,,
"RCP-30-5A Lot AP02, AP01 & AN05",,,,,,,
"https://www.spherotech.com/RCP-30-5A%20%20Rev%20A%20ML%20011619B-G-081318C.xls",,,,,,,
"MECSB",137.033856282754,312.407497210043,891.249497666546,2661.47828092059,7243.73934609676,22057.2191402041,36570.1145657294
"MEBFP",477.843644913271,1323.98833871375,4227.87018047956,13998.3076669478,44085.9272654747,158365.379885367,390560.622719139
"MEFL",771,2106,6262,15183,45292,136258,291042
"MEPE (488nm Ex)",413,1220,4005,12349,37501,119888,276137
"MEPE (561nm Ex)",517,1298,3925,12403,38247,127033,289711
"MEPTR (488nm Ex)",173,534,1789,5854,18869,70686,200161
"MEPTR (561nm Ex)",183.68847043495,601.316548541581,2058.31886969144,6854.54474211412,21825.1372582568,76402.0030618031,179849.050402059
"MECY (488nm Ex)",1118,3305,10780,32585,95799,360647,1115638
"MECY (561nm Ex)",989.791617289759,3026.48900048176,10416.3942339651,33549.4124057325,104336.783652206,371960.606816486,952234.042507479
"MEPCY7",37,140,829,4109.41226837112,20714.136170948,133657.256415911,606679.082876215
"MEAP",242,568,2264,7092,21473,70462,154157
"MEAPCY7",124.82438135382,296.451907367864,964.594136783896,2656.61949484937,6984.98066721684,19634.961135585,40808.9841181076
,,,,,,,
"RCP-30-5A Lot AN04, AN03, AN02, AN01, AM02, AM01, AL01, AK04, AK03 & AK02",,,,,,,
"https://www.spherotech.com/RCP-30-5A%20%20Rev%20K%20ML%23%20073112%20Rev.%20B.xls",,,,,,,
"MECSB",205.139224587675,470.418789207962,1211.03409137091,2739.85605412079,7516.43849705557,20121.7589207813,35572.7129888405
"MEBFP",843.503722117931,1957.71825828363,5421.80193415564,13522.433084656,42717.4973739119,153501.022826764,420359.287816952
"MEFL",771.204227758779,2106.46973727296,6262.29508551021,15182.5413019226,45291.7071432442,136257.847794468,291041.740879689
"MEPE",487.398484275159,1473.64215674594,4516.24975517653,11260.0753555562,34341.0801281963,107608.01291543,260461.299924314
"MEPTR",204.868534691815,643.202193579403,2021.09484018683,5278.32442121266,17017.8228394271,62450.9816067639,198932.678535898
